title,description,cost,license,app_type,origin,platform,supported_languages
Diktatorial Suite,"Your virtual sound engineer and AI mastering tool with text prompts. Musical, instant, and creative. It upscales audio and gives the comfort of hiring an expensive mastering engineer.",Subscription,Proprietary,Music Production App,United States,Online,English
Screencut,"Screencut is useful app for iPhone for creating amazing image for a viral posts. Easily create screenshots in a powerful editor that supports photos and videos, adding notes, overlaying text and GIF animations, and flexible settings for shadows and fillets. Mobileapp discovery",Freemium,Proprietary,"Screenshot Capture Tool, Mockup Generator",Peru,iPhone,"English, French, German, Japanese, Korean, Portuguese, Russian, Spanish, Ukrainian"
Cap,"Open-source tool for screen and camera capture with 4K recording, timeline editor, instant sharing via links, privacy controls, no signup, multiple layouts, custom branding, cursor options, threaded comments, self-hosting, and paid AI-powered features available.",Freemium (Pay once or Subscription),Open Source,"Screen Recorder, Screenshot Capture Tool",United States,"Mac, Windows",English
SVGL,Get access to hundreds of SVG logos in seconds. No more hunting on Google for fake PNGs,Free,Open Source ( MIT ),Icon Library,International,Online,English
WordPress Studio,A new way to develop locally with WordPress. Share your local sites with clients or colleagues and keep your local development process smooth and simple with unbreakable infrastructure.,Free,Open Source ( GPL-2.0 ),Web Server,United States,"Mac, Windows, Wordpress, Linux",English
Fossify Notes,"Introducing Fossify Notes – your ultimate tool for effortless note-taking, organization, and planning. Simplify your life with this intuitive organizer designed to streamline your tasks and ideas effortlessly.",Free,Open Source ( GPL-3.0 ),"Note-taking Tool, Todo List Manager",India,"Android, Android Tablet, F-Droid",English
Fossify Clock,"Introducing Fossify Clock – the ultimate timekeeping companion designed to enhance your daily routines and promote better sleep habits. With a multitude of functions tailored to your needs, Fossify Clock seamlessly integrates into your life, offering unparalleled convenience and...",Free,Open Source ( GPL-3.0 ),Alarm Clock,India,"Android, Android Tablet, F-Droid",English
BentoGrids,"BentoGrids is a curated collection of tile-based layouts, popularized by Apple with their summary slides. They are great for showcasing brand identity, summarizing product features, and much more.",Free,Proprietary,"UI Design Tool, Graphic Design Tool",N/A,Online,English
Toolfolio,"Toolfolio helps you find the best tools for productivity, creativity, and design. Explore top solutions for startups, social media, AI, and more to optimize your workflow.",Free,Proprietary,App Discovery Service,N/A,Online,English
Optibase,"Optibase integrates A/B and split testing in Webflow Designer, enabling non-coders to test and optimize website elements like design and copy without performance impact. The web app facilitates tracking and measuring, with segmentation features and analytics coming soon. MobileApps & Add-Ons",Freemium (Subscription),Proprietary,N/A,"Slovenia, EU","Online, Webflow, Software as a Service (SaaS)",English
OSS Gallery,Discover the best open-source projects. A crowdsourced list of the best open-source projects on the internet.,Free,Open Source ( MIT ),App Discovery Service,United States,Online,English
TagStudio,"TagStudio is a photo & file organization application with an underlying tag-based system that focuses on giving freedom and flexibility to the user. No proprietary programs or formats, no sea of sidecar files, and no complete upheaval of your filesystem structure. Applicationsoftware reviews",Free,Open Source ( GPL-3.0 ),File Manager,International,"Mac, Windows, Linux","English, Chinese, Dutch, French, German, Japanese, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Swedish, Tamil, Turkish"
Ulti-Planner,"Ulti-Planner is a new modern calendar app with best-in-class features. We have spent years perfecting our new flagship product with speed, power, and flexibility. Features include full year, month, timeline day, week, and agenda list views to display your events and reminders... Applicationsoftware reviews",Freemium (Pay once or Subscription),Proprietary,Calendar App,United States,"Mac, iPhone, iPad","English, Dutch, Italian, Spanish"
Meta Horizon OS,"This new hardware ecosystem will run on Meta Horizon OS, the mixed reality operating system that powers our Meta Quest headsets. We chose this name to reflect our vision of a computing platform built around people and connection—and the shared social fabric that makes this...",Free,Proprietary,N/A,United States,Meta Quest,English
Ecosia Browser,"Ecosia Browser is the newest product from Ecosia an eco-friendly, fast, ad-free browsing experience that supports reforestation. WebBrowsers",Free,Proprietary,Web Browser,"Germany, EU","Mac, Windows  , Linux, Flathub, Flatpak, Android",English
LittleLink,"The DIY self-hosted LinkTree alternative. LittleLink has more than 100 branded button styles you can easily use, with more regularly added by our community.",Free,Open Source ( MIT ),"Landing Page Creator, Website Builder",N/A,Self-Hosted,English
Meta AI,"Built with Meta Meta Llama, Meta AI is one of the world’s leading AI assistants, already on your phone, in your pocket for free. And it’s starting to go global with more features. You can use Meta AI on . Opensource software",Free,Proprietary,"AI Chatbot, Large Language Model (LLM) Tool",United States,"Online, Android, iPhone, Android Tablet, iPad, Facebook, WhatsApp, Instagram, Facebook Messenger","English, Danish, Dutch, Finnish, French, German, Hindi, Indonesian, Italian, Norwegian Bokmål, Portuguese, Spanish, Swedish, Tagalog, Thai, Vietnamese"
Kiview,Kiview gives the user the ability to quickly preview different file types without the need to launch the default application.,Free,Open Source ( GPL-3.0 ),N/A,N/A,"Linux, Flathub, Dolphin File Manager, Flatpak",English
Ayin,"Free and open source photo editor supporting 21+ filters, multiple tabs for editing, undo and redo stack, device theme adaptation, cross-platform compatibility for Windows, Linux, and macOS, as well as a lightweight, user-friendly interface and transparent development. Opensource software",Free,Open Source ( GPL-3.0 ),"Image Editor, Photo Editor",Egypt,"Mac, Windows, Linux  ",English
Thinkbuddy,Simplify life with AI at your fingertips. All-in-one AI suite that seamlessly integrates your voice to maximize your productivity with the best price on Mac. MacOS,Freemium (Pay once or Subscription),Proprietary,"AI Chatbot, AI Writing Tool",United States,Mac,English
DocsHound,"Knowledge base software, reimagined with AI. Create, publish and maintain sophisticated documentation that delivers a brand impression.",Subscription,Proprietary,Documentation Generator,N/A,"Online, Microsoft Edge, Google Chrome, Safari, Software as a Service (SaaS), Firefox",English
Junkworld,"Daring adventures, perilous terrains… dubious companions, we have it all! Command the resourceful Scavenger clan as they survive the mayhem of post-apocalyptic tactical battles. Deploy towers, use special units and gadgets, and train amazing heroes.",Subscription,Proprietary,Tower Defense Game,Uruguay,"Mac, iPhone, iPad, Apple Watch","English, Arabic, Chinese, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Turkish"
Suika Game,"To prevent the fruits from overflowing from the box, collide the same kind of fruit. As you collide fruits, their types change. Let's create big watermelons!.",Pay once,Proprietary,Puzzle Game,United States,"Android, iPhone, Android Tablet, iPad, Nintendo Switch","English, Chinese, Japanese, Korean"
Delta Emulator,"Delta is an iOS emulator that supports multiple game systems such as NES, SNES, N64, and DS, improving upon its predecessor, GBA4iOS.",Free,Open Source,Game Emulator,United States,"iPhone  , AltStore, iPad  ",English
"FlowNote, To-Do List & Planner","Every project begins with some form of documentation, whether it's notes on paper or digital files.",Free,Proprietary,"Todo List Manager, Note-taking Tool",Bosnia & Herzegovina,"iPhone, iPad","English, German, Italian, Portuguese, Spanish"
Stack Auth,"Stack is an open-source, self-hostable, and highly customizable authentication and user management system.",Freemium (Subscription),Open Source,Identity Management Tool,United States,"Online, Self-Hosted, Software as a Service (SaaS)",English
GPU Screen Recorder,"This is a screen recorder that has minimal impact on system performance by recording a monitor using the GPU only, similar to shadowplay on windows.",Free,Open Source ( GPL-3.0 ),"Screen Recorder, Live Streaming Tools and Service",N/A,"Linux, Flathub, Flatpak",English
Lido,"You already use spreadsheets to keep track of everything. Now, you can automate tasks and create custom workflows directly from your spreadsheet data with formulas, not code.",Freemium (Subscription),Proprietary,"Spreadsheet App, Workflow Automation Tool",United States,"Online, Software as a Service (SaaS)",English
Sora for Mastodon + Bluesky,Futuristic Fediverse client for iOS & VisionOS & macOS & watchOS.,Freemium (Pay once or Subscription),Proprietary,"Mastodon Client, Social Network",Japan,"Mac, iPhone, iPad, Apple Watch, visionOS","English, Chinese, French, German, Japanese, Korean"
Focus Go,"Focus Go is the gallery I always wanted to have, so I built it. I don't like bloated galleries with 23093485 features, so I only built the ones I need/think are needed.",Free Personal,Proprietary,Photo Manager,"Portugal, EU",Android,English
Morphic,"Morphic it's a fully open-source AI-powered answer engine with a generative UI. Built with Vercel AI SDK, it delivers awesome streaming results.",Freemium (Subscription),Open Source ( Apache-2.0 ),N/A,United States,Online,English
Sana AI,"Grounded in all your company’s information, powered by state-of-the-art LLMs, Sana AI gives everyone access to the knowledge they need to work faster and think bigger than ever before.",Free Personal,Proprietary,AI Writing Tool,"Sweden, EU",Online,English
Sonauto,"Sonauto is an AI music editor that turns prompts, lyrics, or melodies into full songs in any style. For example, in a few minutes with Sonauto you can make an original birthday song for your friend, sung by Frank Sinatra.",Free,Proprietary,"AI Music Generator, Music Production App",N/A,Online,English
SEOTesting,"Enhance search traffic through time-based SEO testing, split tests, and performance analysis. Access dashboards to track Google Search Console data, annotate algorithm updates, and optimize content with tailored reports, ensuring data-driven SEO strategies.",Subscription,Proprietary,SEO Tool,N/A,"Online, Software as a Service (SaaS)",English
Pie Menu,"Introducing the all-new radial menu app that revolutionizes the way you work on your device! With Pie Menu, you can customize shortcuts for every app, making your life easier and more organized. MobileApps & Add-Ons",Freemium (Subscription),Proprietary,N/A,Norway,Mac,English
Biome,"A toolchain for web projects, aimed to provide functionalities to maintain them. Biome offers formatter and linter, usable via CLI and LSP.",Free,Open Source ( Apache-2.0 ),N/A,United Kingdom,"Self-Hosted, npm",English
Udio,Udio is an app for music creation and sharing that allows you to generate amazing music in your favorite styles with intuitive and powerful text-prompting. MobileApps & Add-Ons,Freemium (Subscription),Proprietary,"AI Music Generator, Music Production App",United States,Online,English
Beeper,"Brings together messaging from 14 networks into a single inbox, including WhatsApp, Telegram, Slack, and more, with strong privacy via on-device connections, cross-platform availability, chat reminders, scheduling, and unified notifications for all devices.",Freemium (Subscription),Open Source,Instant Messenger,United States,"Mac, Windows, Linux, Android, iPhone  , Chrome OS, Android Tablet, iPad, Self-Hosted","English, Albanian, Basque, Bulgarian, Catalan; Valencian, Dutch, Esperanto, Estonian, French, German, Hungarian, Icelandic, Indonesian, Italian, Japanese, Norwegian Bokmål, Polish, Portuguese, Russian, Chinese, Slovak, Spanish, Swedish, Vietnamese, Welsh, ▾"
Google Vids,"AI-powered video creation tool for slides presentations. This is your video editing, writing and production assistant, all in one! We help transform the assets you already have into a compelling video.",Freemium (Subscription),Proprietary,N/A,United States,Online,English
NetOptimizer,"Enhances Internet and browser performance by automatically applying optimal Windows settings, clearing web-related clutter, and providing one-click adjustments. Designed for non-technical users, it includes useful support resources and works efficiently in the background. WebBrowsers",Freemium (Pay once),Proprietary,N/A,United States,Windows,English
drawDB,"DrawDB is a robust and user-friendly database entity relationship (DBER) editor right in your browser. Build diagrams with a few clicks, export SQL scripts, customize your editor, and more without creating an account.",Free,Open Source ( AGPL-3.0 ),Database Management Tool,International,"Online, Self-Hosted",English
Flash Notes,"Transform your learning with AI-enhanced, personalised flashcards and seamless device synchronisation—anytime, anywhere.",Freemium (Subscription),Proprietary,"Flashcard Learning Tool, Language Learning Tool",United States,"Mac, iPhone, iPad",English
ishare,"The definitive screen capture utility for macOS, designed with simplicity and efficiency in mind.",Free,Open Source ( GPL-3.0 ),"Screenshot Capture Tool, Screen Recorder",N/A,Mac,English
Sleekshot,"This screenshot tool is made just for Windows 10/11 and lets you take and mark up screenshots really quickly. Right after you take a screenshot, you can start editing it because the editing area shows up around what you've captured. Software",Freemium (Pay once),Proprietary,"Screenshot Capture Tool, Screen Recorder",Russia,"Mac, Windows","English, Polish, Russian, Spanish, Chinese"
Microlaunch,"Launch, get feedback, exposure and first customer over a month of rankings.",Freemium (Pay once or Subscription),Proprietary,App Discovery Service,N/A,Online,English
Bura,"Bura transforms and visualizes weather data from Open-Meteo.com to give you essential weather information at a glance, while allowing you to dive deeper with graphs.",Free,Open Source ( GPL-3.0 ),Weather Forecast Tool,N/A,"Android, F-Droid",English
Marknote,"Marknote lets you create rich text notes and easily organise them into notebooks. You can personalise your notebooks by choosing an icon and accent color for each one, making it easy to distinguish between them and keep your notes at your fingertips.",Free,Open Source ( GPL-2.0 ),Note-taking Tool,"Germany, EU","Mac, Windows  , Linux, Flathub, Flatpak, Snapcraft",English
chilli,"climate change is not a distant future, it's happening right now. for the first time ever, you can join the frontline of the climate resistance right here on your phone. chilli is the world's first climate activism app. Applicationsoftware reviews",Free,Proprietary,N/A,N/A,iPhone,"English, French, German, Italian, Portuguese, Spanish"
CodeSnap.dev,"An image editor for developers, who want to share beautiful images of their code.",Freemium (Pay once or Subscription),Proprietary,N/A,"Germany, EU","Online, Software as a Service (SaaS)",English
Thundr,"Thundr presents itself as a modern alternative to Omegle, emphasizing random chat functionalities with enhanced features. It allows users to engage in anonymous text or video chats, with an option to match based on shared interests, aiming to retain Omegle's charm while... Forum& Chat Providers",Free,Proprietary,Random Video Chat App,United States,Online,English
Miles - Running Tracker,Miles is the simplest but most effective way to track your running progress week by week. Start and end runs with ease and sync seamlessly with Apple Watch.,Pay once,Proprietary,Run Tracker,N/A,iPhone,"English, German"
OpenHands,"OpenHands is an open-source project aiming to replicate Devin, an autonomous AI software engineer who is capable of executing complex engineering tasks and collaborating actively with users on software development projects.",Freemium,Open Source,"Task Automation App, Large Language Model (LLM) Tool",N/A,"Online, Self-Hosted, Docker",English
VoiceCraft,"VoiceCraft is a token infilling neural codec language model, that achieves state-of-the-art performance on both speech editing and zero-shot text-to-speech (TTS) on in-the-wild data including audiobooks, internet videos, and podcasts.",Free,Open Source,"Text to Speech Service, AI Voice Generator",N/A,Online,English
Voice Engine,"Voice Engine is a text-to-voice generation platform from OpenAI, which uses text input and a single 15-second audio sample to generate natural-sounding speech that closely resembles the original speaker.",Paid,Proprietary,"Text to Speech Service, AI Voice Generator",United States,Online  ,English
Q - Collect Your Thoughts,"Q is a writing and memory tool that uses semantic search instead of folders. It allows markdown formatting on any device, provides math evaluations, and adds punctuation.",Free,Proprietary,Note-taking Tool,N/A,Online,English
DomoAI,"Comprehensive AI-driven platform supporting video creation, image-to-video, text-to-image, and anime-to-realistic photo conversion in various styles like Japanese anime, paper art, and 3D cartoon, offering creative tools for experimentation and production.",Subscription,Proprietary,AI Video Generator,Singapore,"Online, Discord",English
Aqua Voice,"The slowest part of your computer is the keyboard. Aqua fixes that. Hold a key, talk, and your voice becomes clean text in any app - Gmail, Slack, Cursor, the terminal.",Freemium (Subscription),Proprietary,Audio Transcription Tool,United States,"Mac, Windows, Online, iPhone","English, Arabic, Belarusian, Bengali, Bulgarian, Catalan; Valencian, Croatian, Czech, Danish, Dutch, Estonian, Finnish, French, Galician, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Irish, Italian, Japanese, Korean, Latvian, Lithuanian, Malay, Maltese, Chinese, Marathi, Mongolian, Norwegian, Persian, Polish, Portuguese, Romanian, Russian, Slovene, Spanish, Swahili, Swedish, Tamil, Thai, Turkish, Ukrainian, Urdu, Vietnamese, Welsh, ▾"
Shine,"Shine app provides curated group albums for all occasions. Users can generate an album, select between Magic Mode (AI picks notable photos) or Manual Mode (user picks photos), and invite others to join the album. Software",Free,Proprietary,Photo Sharing App,United States,iPhone,English
PointOne,Automated timekeeping and billing for law firms.,Subscription,Proprietary,Billing System,United States,"Online, Software as a Service (SaaS)",English
Perfect Pic,"AI Enhance/Face Beautifier: turns blurry, out of focus photos into sharp, pixel perfect images, and automatically detects and beautifies faces.",Freemium (Subscription),Proprietary,"Photo Editor, Image Editor",N/A,"iPhone, iPad","English, Arabic, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Turkish"
Smartli,"AI-powered platform generates SEO-optimized product descriptions and blog posts from minimal keywords, rewrites incomplete content, auto-selects conversion-focused keywords, corrects emails, and streamlines content creation for dropshipping and e-commerce workflows.",Subscription,Proprietary,N/A,United States,"Online, Shopify",English
WhatTheDuck,"WhatTheDuck is an open-source web application built on DuckDB. It allows users to upload CSV files, store them in tables, and perform SQL queries on the data.",Free,Open Source ( MIT ),Database Management Tool,India,"Online, Self-Hosted",English
Karakeep,"Self-hostable, open-source tool for organizing bookmarks, notes, and images with automatic AI tagging, full-text search, Chrome plugin, web dark mode, and iOS support planned. Fetches titles and descriptions, sorts by lists, and is designed for privacy-focused users. Dictionaries& Encyclopedias",Freemium (Subscription),Open Source ( AGPL-3.0 ),"Bookmark Manager, Read It Later Tool",United Kingdom,"Android, iPhone, Android Tablet, iPad, Self-Hosted, Google Chrome, Docker, Mozilla Firefox",English
ClipBook,ClipBook stores everything you copy and lets you quickly access your clipboard history whenever you need it.,Pay once,Proprietary,Clipboard Manager,N/A,Mac,English
Regex Forge,"Regex Forge is a regular expression editor for macOS with pattern visualization, syntax highlighting, live replace & preview and more.",Pay once,Proprietary,Regular Expression Editor,N/A,Mac,English
Particle.news,"Particle.news is a new startup offering a personalized, “multi-perspective” news reading experience that not only leverages AI to summarize the news, but also aims to do so in a way that fairly compensates authors and publishers.",Free,Proprietary,News Reader,United States,"Online, iPhone, iPad","English, Arabic, Dutch, French, German, Hindi, Indonesian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Chinese, Spanish, Thai, Turkish, Ukrainian, Vietnamese, ▾"
griddo,Build your brand and scale your marketing capabilities with Griddo. Centralize all your web assets. Create and manage all your websites with a simple No-Code interface. Ensure brand consistency with an exclusive Design System.,Subscription,Proprietary,"CMS Tool, Website Builder",N/A,"Online, Software as a Service (SaaS)","English, Spanish"
Glossarie,"Learn vocabulary the natural, immersive way. Build your skills in French, Italian or Spanish whilst you read your favourite books.",Free,Proprietary,Language Learning Tool,N/A,"iPhone, iPad, Android, Android Tablet",English
Text To Speech AI Voices,"Transform text into realistic human-like voices across multiple languages. Convert books, documents, images, and PDFs with customizable speed and volume for personalized listening. Save content offline and access your digital library on any device.",Freemium (Pay once),Proprietary,Text to Speech Service,United Kingdom,"Online, Android, iPhone","English, Dutch, French, German, Indonesian, Italian, Japanese, Korean, Malay, Polish, Portuguese, Chinese, Spanish, Thai, Vietnamese"
Brewer X,"Brewer X is a refreshing user interface for Homebrew. Manage your apps, scripts, and fonts with ease and dive into the most comprehensive software library for macOS. MobileApps & Add-Ons",Pay once,Proprietary,"Package Manager, Software Installer","Italy, EU",Mac  ,"English, Italian"
Gradio.app,"Gradio is the fastest way to demo your machine learning model with a friendly web interface so that anyone can use it, anywhere.",Free,Open Source ( Apache-2.0 ),N/A,United States,"Self-Hosted, Python, Mac, Windows, Linux, BSD",English
Devika,"Devika is an Agentic AI Software Engineer that can understand high-level human instructions, break them down into steps, research relevant information, and write code to achieve the given objective. Devika utilizes large language models, planning and reasoning algorithms, and... Newsoftware releases",Free,Open Source ( MIT ),Task Automation App,N/A,Online,English
QuickWP,"QuickWP allows you to create a WordPress theme with styles, content, and images based on your input.",Free,Open Source ( GPL-3.0 ),Website Builder,"Romania, EU","Wordpress, Online",English
CodeEdit,"CodeEdit is a code editor built by the community, for the community, written entirely and unapologetically for macOS. Features include syntax highlighting, code completion, project find and replace, snippets, terminal, task running, debugging, git integration, code review...",Free,Open Source ( MIT ),"Code Editor, IDE","Germany, EU",Mac,English
Google Scholar PDF Reader,"Supercharge your paper reading: follow references, skim outline, jump to figures, cite and save.",Free,Proprietary,PDF Reader,United States,Google Chrome,English
Pipio,"Effortlessly create videos with digital actors by inputting a script. Use AI for translating and dubbing videos, preserving voice and syncing lips seamlessly to new languages.",Subscription,Proprietary,"Text to Speech Service, AI Video Generator",United States,Online,English
MindBreath,Breathing exercises from ancient traditions backed by modern research + in-built HRV heart rate monitor for stress & health analysis.,Freemium (Subscription),Proprietary,N/A,N/A,"Android, iPhone","English, Chinese, French, German, Korean"
FindAffiliates,"Find Affiliates is your go-to platform for discovering and comparing diverse affiliate programs that align with your niche. With a focus on engaging your audience, this tool facilitates monetization efforts by offering curated selections of cool websites, AI tools, and SaaS, steering clear of irrelevant content.",Pay once or Subscription,Proprietary,Affiliate Marketing Tool,N/A,Online,English
Pikimov,Pikimov is a free web based motion design and video editor. Freeonline tools,Free,Proprietary,Video Editor,"France, EU",Online,English
Pretzel,"Pretzel is an open-source, offline browser-based tool for fast and intuitive data exploration and visualization. It can handle large data files, runs locally in your browser, and requires no backend setup. WebBrowsers",Free,Open Source,N/A,United States,"Mac, Windows, Linux, Online, BSD",English
FastCut,Turn your video into viral reels using AI.,Freemium (Subscription),Proprietary,Video Editor,N/A,"Online, Software as a Service (SaaS)",English
The Legend of Zelda,Journey to the kingdom of Hyrule and discover the timeless battles between good and evil and the secrets of the all-powerful Triforce.,Pay once,Proprietary,Adventure Game,Japan,"Nintendo Wii / Wii U, Nintendo Switch","English, Japanese, Dutch, French, German, Italian, Russian, Spanish, Chinese, Korean"
Guidde,"Generate instant video and document guides with generative AI, highlight automation, drag-and-drop editing, multi-language voiceovers, team collaboration, workflow integration, custom branding, sensitive data blurring, and browser-based sharing for fast training, support, and onboarding.",Freemium (Subscription),Proprietary,Product Demo Builder,United States,Google Chrome,English
Vibrantsnap,"Enhances your storytelling through animated screenshot, add gradient background, images or video. Whether for presentation, social media posts, or engaging content creation, VibrantSnap provides the tools to make your visuals stand out and immersive.",Pay once or Subscription,Proprietary,"Screenshot Capture Tool, Screen Recorder",N/A,Mac,English
Teable,"Teable is a super fast, real-time, professional, developer friendly, no-code database built on Postgres. It uses a simple, spreadsheet-like interface to create complex enterprise-level database applications. Applicationsoftware reviews",Free Personal,Open Source,N/A,International,"Online, Self-Hosted, Software as a Service (SaaS), Docker",English
Devin,"Devin is an autonomous agent that solves engineering tasks through the use of its own shell, code editor, and web browser. WebBrowsers",Pay once,Proprietary,Task Automation App,United States,Online  ,English
ResumeRanker,"ResumeRanker is an AI-driven tool designed to optimize resumes for job seekers. It leverages artificial intelligence to enhance resumes, ensuring they match job descriptions and stand out to employers. By inputting your resume and job description, ResumeRanker provides tailored...",Pay once,Proprietary,N/A,N/A,Online,English
Klap,"Klap is a web application that converts YouTube videos into short clips for social media platforms like TikTok, Reels, and Shorts. Users can upload a video, add captions, and share the clips on social media.",Subscription,Proprietary,"Video Editor, AI Video Generator",N/A,"Online, Software as a Service (SaaS)",English
TimeLapze,An open-source menu bar application for creating screen and camera time lapses without excessive file sizes. Applicationsoftware reviews,Free,Open Source ( MIT ),Screen Recorder,N/A,"Mac, Homebrew",English
Diary Vault,"A FOSS, offline first personal diary application written in Flutter. Applicationsoftware reviews",Free,Open Source ( MIT ),"Journaling App, Private Diary",N/A,Android,English
Pixyway,"Pixyway is a fresh new picture viewer for Windows. It has been designed to be an 'everyday' picture viewer tool like Google Picasa viewer used to be! By the way, if you liked Picasa viewer, you will notice some references to it.",Free Personal,Proprietary,"Image Editor, Image Viewer",N/A,Windows,"English, French"
TinyGLB,TinyGLB is a free tool to publish 3D models online. Upload your 3D model and instantly get a custom web page to share or embed within a website. Freesoftware listings,Free,Proprietary,N/A,N/A,Online,English
Standard Input,"A versatile AI-powered application designed to meet the diverse needs of users seeking intelligent interaction and functionality. This app offers a free AI chat feature, enabling users to engage in conversations with advanced AI models, providing insights, answers, and... Software",Freemium (Subscription),Proprietary,"AI Chatbot, Large Language Model (LLM) Tool",N/A,Online,English
Repeto.ai,"Repeto.ai is an AI learning platform that helps students, researchers and professionals learn better. This is done through personalization. The student uploads their own documents and we help them study those effectively using tailored summaries, personalized Q&A, quiz...",Freemium (Subscription),Proprietary,N/A,N/A,Online,English
Momentum Page,"Momentum is a simple no-code tool to build and sell digital products. Launch landing pages, directories, blogs, changelogs in seconds, collect email addresses, send automated emails and email newsletters, analyze activity and conversion rates, promote productised services and...",Freemium (Subscription),Proprietary,N/A,N/A,Online,English
CleanMyPhone,"AI-powered tool scans mobile device storage, identifies and removes duplicate, blurred, or unnecessary images and videos, auto-sorts content into thematic folders, supports robust decluttering, conducts network speed testing, and helps organize digital photo libraries efficiently.",Freemium,Proprietary,"Duplicate File Finder, System Cleaner",Ukraine,"iPhone, iPad","English, Dutch, French, German, Italian, Japanese, Korean, Polish, Portuguese, Chinese, Spanish, Ukrainian"
Notes.ai,"Never miss a brilliant idea again: effortlessly transcribe meetings into Notion. Notes.ai + Notion = your ideas organized, your productivity unleashed.",Freemium (Pay once),Proprietary,Audio Transcription Tool,N/A,Mac,"English, Afrikaans, Amharic, Arabic, Bengali, Bulgarian, Catalan; Valencian, Chinese, Croatian, Czech, Danish, Dutch, Estonian, Finnish, French, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Korean, Lithuanian, Latvian, Malay, Malayalam, Marathi, Norwegian Bokmål, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Slovak, Slovene, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Turkish, Ukrainian, Urdu, Vietnamese, ▾"
Linkeeper,"A URL bookmarking app, featuring deep integration into the OS, iCloud Sync, extensive Siri Shortcuts actions, and a stunning user interface that makes it a joy to use and feels like home. Software",Free,Proprietary,Bookmark Manager,United Kingdom,"Mac, iPhone, iPad, visionOS",English
Raccoon for Lemmy,Raccoon for Lemmy is a client for the federated aggregation and discussion platform Lemmy. The project is powered by Kotlin Multiplatform (KMP) and Compose Multiplatform (CMP).,Free,Open Source ( GPL-3.0 ),Lemmy Client,"Italy, EU","Android, F-Droid, GitHub",English
Supahub,"Supahub is a free customer feedback tool to collect, manage, and prioritize feature requests. No more lost or ignored feedback. FreeVPN services",Freemium (Subscription),Proprietary,Customer Feedback Manager,N/A,"Online, Software as a Service (SaaS)",English
MoodWise,"MoodWise is a simple moodtracker to help users understand and improve their emotional well-being. Track what you need and analyze your data with insightful graphs. MoodWise offers a clutter-free design, focusing on the essentials without overwhelming you with unnecessary features.",Freemium (Pay once),Proprietary,"Journaling App, Private Diary",N/A,"Android, iPhone, Android Tablet, iPad",English
TabbyML,"Tabby is an open-source, self-hosted AI coding assistant. With Tabby, every team can set up its own LLM-powered code completion server with ease.",Free,Open Source,AI Coding Assistant,United States,"Mac, Windows, Linux, Self-Hosted, Visual Studio Code",English
SitesGPT,"AI-powered platform for quick SEO-optimized website creation, featuring instant content and image generation. Streamline web design for diverse needs like business sites, portfolios, and blogs effortlessly.",Freemium (Subscription),Proprietary,Website Builder,United States,Online,English
Web Check,"Get an insight into the inner-workings of a given website: uncover potential attack vectors, analyse server architecture, view security configurations, and learn what technologies a site is using.",Free,Open Source ( MIT ),Website Audit Tool,United Kingdom,"Online, Self-Hosted",English
Aura,"Aura is a sophisticated Amazon repricing tool that uses Artificial Intelligence to automatically adjust product prices. It analyzes the market and determines the optimal pricing strategy for each product listing, freeing you from manual adjustments.",Subscription,Proprietary,N/A,United States,Online,English
CachyOS,"CachyOS is designed to deliver lightning-fast speeds and stability, ensuring a smooth and enjoyable computing experience every time you use it. Whether you're a seasoned Linux user or just starting out, CachyOS is the ideal choice for those looking for a powerful...",Free,Open Source,"Linux Distro, Operating System","Germany, EU",Linux,English
OldNews,Access a treasure trove of historical newspapers. Search millions of pages from thousands of historical newspaper titles.,Paid,Proprietary,"Web Archiving Service, Genealogy Tool",Israel,Online,English
Struct,"Real-time chat platform structured with threads, custom feeds, project tagging, and AI moderation. Provides privacy controls, instant file and code sharing, multiple viewing modes, moderator tools, light/dark modes, and unifies collaboration for organizations and communities.",Subscription,Proprietary,"Team Collaboration Tool, Instant Messenger",United States,"Mac, Windows, Linux, Slack",English
MyPlace.app,"Enables businesses to convert WiFi networks into marketing tools by capturing customer data, syncing with marketing apps like Salesforce and Mailchimp, offering branded captive portals for internet access, connecting with review sites, and streamlining workflows. MobileApps & Add-Ons",Subscription,Proprietary,Wi-Fi Hotspot,"Ireland, EU",Online,English
OfflineLLM,"OfflineLLM is unlimited, private, offline, 24/7, free access to AI. Augment your day-to-day life by using this Ai chatbot for a multiplicity of applications. Freeonline tools",Pay once,Proprietary,"AI Chatbot, Large Language Model (LLM) Tool",N/A,visionOS,English
Video Compression,"Compress Videos for Free. Forever. Say goodbye to bulky files! Crush video sizes by 90% with no quality loss, even offline. And the best part? It's free!. Freeonline tools",Free,Open Source ( MIT ),Video Converter,International,Online,English
